text,label
SpO2 99% oxygen saturation BP 129/76 heart rate 138 bpm patient monitoring,medical
CPU 63% memory 85% HTTP 500 errors 332 server issue detected,it
SpO2 83% oxygen saturation BP 118/60 heart rate 87 bpm patient monitoring,medical
motor temperature 76C vibration 4.2mm/s RPM 1245 bearing fault detected,machine
SpO2 81% oxygen saturation BP 94/74 heart rate 117 bpm patient monitoring,medical
CPU 96% memory 86% HTTP 500 errors 11 server issue detected,it
compressor overload current spike detected,machine
motor temperature 89C vibration 1.4mm/s RPM 1412 bearing fault detected,machine
CPU 87% memory 69% HTTP 500 errors 815 server issue detected,it
SpO2 79% oxygen saturation BP 89/54 heart rate 109 bpm patient monitoring,medical
CPU 64% memory 96% HTTP 500 errors 589 server issue detected,it
SpO2 79% oxygen saturation BP 124/51 heart rate 95 bpm patient monitoring,medical
motor temperature 81C vibration 9.9mm/s RPM 2372 bearing fault detected,machine
SpO2 87% oxygen saturation BP 127/68 heart rate 98 bpm patient monitoring,medical
motor temperature 92C vibration 8.0mm/s RPM 2086 bearing fault detected,machine
CPU 91% memory 92% HTTP 500 errors 390 server issue detected,it
SpO2 84% oxygen saturation BP 97/43 heart rate 134 bpm patient monitoring,medical
motor temperature 67C vibration 1.5mm/s RPM 1859 bearing fault detected,machine
CPU 100% memory 83% HTTP 500 errors 326 server issue detected,it
SpO2 94% oxygen saturation BP 78/55 heart rate 140 bpm patient monitoring,medical
SpO2 75% oxygen saturation BP 128/79 heart rate 132 bpm patient monitoring,medical
SpO2 79% oxygen saturation BP 104/58 heart rate 137 bpm patient monitoring,medical
compressor discharge temperature above safe range,machine
blood pressure 70/40 septic shock suspected critical condition,medical
motor temperature 64C vibration 2.0mm/s RPM 1174 bearing fault detected,machine
motor temperature 82C vibration 7.8mm/s RPM 1890 bearing fault detected,machine
motor temperature 93C vibration 6.5mm/s RPM 1558 bearing fault detected,machine
CPU 50% memory 97% HTTP 500 errors 345 server issue detected,it
motor temperature 89C vibration 5.4mm/s RPM 2494 bearing fault detected,machine
SpO2 90% oxygen saturation BP 74/48 heart rate 124 bpm patient monitoring,medical
SpO2 82% oxygen saturation BP 111/89 heart rate 67 bpm patient monitoring,medical
SpO2 88% oxygen saturation BP 121/63 heart rate 88 bpm patient monitoring,medical
motor temperature 60C vibration 6.5mm/s RPM 1881 bearing fault detected,machine
SpO2 80% oxygen saturation BP 109/78 heart rate 132 bpm patient monitoring,medical
CPU 96% memory 93% HTTP 500 errors 658 server issue detected,it
motor temperature 75C vibration 8.8mm/s RPM 1899 bearing fault detected,machine
docker container restarted unexpectedly,it
CPU 79% memory 97% HTTP 500 errors 620 server issue detected,it
motor temperature 67C vibration 4.1mm/s RPM 2562 bearing fault detected,machine
motor temperature 98C vibration 4.4mm/s RPM 1212 bearing fault detected,machine
SpO2 84% oxygen saturation BP 115/63 heart rate 115 bpm patient monitoring,medical
SpO2 75% oxygen saturation BP 75/60 heart rate 67 bpm patient monitoring,medical
